Tanggal,P,Wf,Wl,vx,h1,h2,gate
19-02-2024,0,2.13651334308767,1.24346666666667,3.53225060249909,1.24346666666667,0.902483502490072,60.1655668326715
20-02-2024,8.95,0.957676298006329,1.1408,3.38173940311464,1.1408,0.746777440906123,49.7851627270749
21-02-2024,8.95,1.86958908158114,1.16746666666667,3.42445657059044,1.16746666666667,0.788262732102958,52.5508488068639
22-02-2024,25.2,3.41430975747304,0.9432,3.03103662876967,0.9432,0.434550613911489,28.9700409274326
23-02-2024,9.85,3.45813024837651,0.9312,2.99225060612379,0.9312,0.410643409268512,27.3762272845675
24-02-2024,3.6,1.35547775591221,0.936266666666667,3.00441940568476,0.936266666666667,0.419429356027278,27.9619570684852
25-02-2024,0,0.39974448143392,0.922933333333333,2.97002568465882,0.922933333333333,0.395622862769271,26.3748575179514
26-02-2024,0.5,0.0982945945847474,0.913333333333333,2.94783948424166,0.913333333333333,0.379330969666368,25.2887313110912
27-02-2024,36.2,3.74564556389745,1.10506666666667,3.3505305918579,1.10506666666667,0.70033533368887,46.6890222459247
28-02-2024,0,3.69735096931271,0.997333333333333,3.20981669160657,0.997333333333333,0.545551436988592,36.3700957992395
29-02-2024,36.65,3.80019642283758,1.1928,3.46007423159012,1.1928,0.826094071769316,55.0729381179544
01-03-2024,2,4.00356329538942,1.15573333333333,3.41465337635234,1.15573333333333,0.773112216138351,51.5408144092234
02-03-2024,9.4,1.20959014851567,1.15813333333333,3.40901465034008,1.15813333333333,0.773551115506284,51.5700743670856
03-03-2024,4.5,1.4545427939407,1.04773333333333,3.24652212997728,1.04773333333333,0.608030068319684,40.5353378879789
04-03-2024,0.25,0.52295431652626,0.996533333333333,3.14993612882864,0.996533333333333,0.525341366753312,35.0227577835541
05-03-2024,4.45,0.513577070209097,1.00106666666667,3.15980265860447,1.00106666666667,0.533047749302949,35.5365166201966
06-03-2024,0.25,0.51360923643113,1.0024,3.1618998724337,1.0024,0.535056819739871,35.6704546493247
07-03-2024,7.85,0.855745229331131,1.0416,3.22860451216984,1.0416,0.595983440163273,39.7322293442182
08-03-2024,1.8,1.00235017038215,0.858133333333333,2.79925288599872,0.858133333333333,0.280606968387981,18.7071312258654
09-03-2024,19.5,2.12763453654797,0.962133333333333,3.08053590488975,0.962133333333333,0.468902826774461,31.2601884516308
10-03-2024,12.65,3.15159790766018,0.834133333333333,2.68048654203537,0.834133333333333,0.223436294700956,14.8957529800637
11-03-2024,5.3,1.7486079861208,0.851733333333333,2.76677597700716,0.851733333333333,0.264993542657693,17.6662361771795
12-03-2024,6.75,1.19180683751007,0.8376,2.74014920494156,0.8376,0.243386629222318,16.2257752814878
13-03-2024,1.05,0.787194083145653,0.8192,2.70221918973748,0.8192,0.214465267552778,14.2976845035185
14-03-2024,16.35,1.72460036370628,0.905066666666667,2.91797742548535,0.905066666666667,0.36213640446698,24.1424269644653
15-03-2024,12.15,2.8090935479147,0.946133333333333,3.03767613722095,0.946133333333333,0.439537630715677,29.3025087143785
16-03-2024,4.6,1.68372232850546,0.969333333333333,3.09637778628649,0.969333333333333,0.481090285189012,32.0726856792675
17-03-2024,0.3,0.529562260270464,0.929066666666667,2.98497707477607,0.929066666666667,0.406294196581994,27.086279772133
18-03-2024,0.65,0.142030537539895,0.922933333333333,2.97042053828744,0.922933333333333,0.395742414591225,26.382827639415
19-03-2024,0,0.112937466744739,0.818933333333333,2.72165346949984,0.818933333333333,0.219571131908283,14.6380754605522
20-03-2024,2,0.234637194192788,0.762133333333333,2.57731500737644,0.762133333333333,0.123788208320481,8.2525472213654
21-03-2024,0.3,0.262070697963803,0.735466666666667,2.45628566083795,0.735466666666667,0.0660709096655525,4.40472731103683
22-03-2024,0,0.0774335037710153,0.699466666666667,2.14674149999493,0.699466666666667,0,0
23-03-2024,0,0.05,0.693866666666667,2.09610017856667,0.693866666666667,0,0
24-03-2024,0,0.05,0.606666666666667,1.31517291971186,0.606666666666667,0,0
25-03-2024,0,0.05,0.541866666666667,0.722285686578545,0.541866666666667,0,0
26-03-2024,0.25,0.0705991620134027,0.518666666666667,0.515503162128945,0.518666666666667,0,0
27-03-2024,0,0.0705991620134027,0.517066666666667,0.50069359481593,0.517066666666667,0,0
28-03-2024,0,0.05,0.5136,0.460217489276262,0.5136,0,0
29-03-2024,0.75,0.11175584840947,0.5176,0.522013308658599,0.5176,0,0
30-03-2024,0.1,0.119936538476437,0.507466666666667,0.432339562373816,0.507466666666667,0,0
