Tanggal,RR,ARR,ARRM,Qr,Q,vx,Wf,Wl
26-02-2024,0.5,77.5,460.05,0.04,0.0965891891694948,2.95638930833891,0.0982945945847474,0.913333333333333
27-02-2024,36.2,113.45,496.25,2.896,7.29470193862541,3.34324544403032,3.74564556389745,1.10506666666667
28-02-2024,0,93.25,495.75,0,0,3.14725038002971,3.69735096931271,0.997333333333333
29-02-2024,36.65,129.9,493.8,2.932,7.50039284567515,3.47336615207,3.80019642283758,1.1928
01-03-2024,2,122.95,474.45,0.16,0.406733745103679,3.42110850716249,4.00356329538942,1.15573333333333
02-03-2024,9.4,123.4,456.75,0.752,1.91244655192766,3.42460612955185,1.20959014851567,1.15813333333333
03-03-2024,4.5,102.7,448.25,0.36,0.896639035953738,3.2447219899511,1.4545427939407,1.04773333333333
04-03-2024,0.25,93.1,448.3,0.02,0.0492695970987828,3.14561056104684,0.52295431652626,0.996533333333333
05-03-2024,4.45,93.95,450.05,0.356,0.877884543319412,3.15486243759093,0.513577070209097,1.00106666666667
06-03-2024,0.25,94.2,439.7,0.02,0.0493339295428486,3.15756500504326,0.51360923643113,1.0024
07-03-2024,7.85,101.55,334.4,0.628,1.56215652911941,3.23344281696641,0.855745229331131,1.0416
08-03-2024,1.8,67.15,301.45,0.144,0.342543811644884,2.80622124543067,1.00235017038215,0.858133333333333
09-03-2024,19.5,86.65,320.95,1.56,3.81272526145105,3.07206296839085,2.12763453654797,0.962133333333333
10-03-2024,12.65,62.65,331.95,1.012,2.39047055386931,2.73325470186339,3.15159790766018,0.834133333333333
11-03-2024,5.3,65.95,309.05,0.424,1.00674541837228,2.78726135341462,1.7486079861208,0.851733333333333
12-03-2024,6.75,63.3,311.85,0.54,1.27686825664785,2.74411595500606,1.19180683751007,0.8376
13-03-2024,1.05,59.85,245.65,0.084,0.197519909643454,2.6851471968131,0.787194083145653,0.8192
14-03-2024,16.35,75.95,249.9,1.308,3.15168081776911,2.93531038005422,1.72460036370628,0.905066666666667
15-03-2024,12.15,83.65,259.4,0.972,2.36650627806029,3.03569908258348,2.8090935479147,0.946133333333333
16-03-2024,4.6,88,261.5,0.368,0.900938378950618,3.08796486010874,1.68372232850546,0.969333333333333
17-03-2024,0.3,80.45,259.5,0.024,0.0581861415903108,2.9952667473834,0.529562260270464,0.929066666666667
18-03-2024,0.65,79.3,259.9,0.052,0.125874933489478,2.98029988038116,0.142030537539895,0.922933333333333
19-03-2024,0,59.8,239.7,0,0,2.68426805639004,0.112937466744739,0.818933333333333
20-03-2024,2,49.15,241.7,0.16,0.369274388385575,2.47883423214852,0.234637194192788,0.762133333333333
21-03-2024,0.3,44.15,233.05,0.024,0.0548670075420306,2.36784975100872,0.262070697963803,0.735466666666667
22-03-2024,0,37.4,224.1,0,0,2.19944993259484,0.0774335037710153,0.699466666666667
23-03-2024,0,36.35,198.9,0,0,2.17103797844396,0.05,0.693866666666667
24-03-2024,0,20,189.05,0,0,1.62085932215568,0.05,0.606666666666667
25-03-2024,0,7.85,185.45,0,0,0.979064246011356,0.05,0.541866666666667
26-03-2024,0.25,3.5,185.7,0.02,0.0411983240268054,0.628229040144549,0.0705991620134027,0.518666666666667
27-03-2024,0,3.2,185.2,0,0,0.598621989471482,0.0705991620134027,0.517066666666667
28-03-2024,0,2.55,149,0,0,0.530506037164152,0.05,0.5136
29-03-2024,0.75,3.3,149.75,0.06,0.123511696818939,0.608606903470795,0.11175584840947,0.5176
30-03-2024,0.1,1.4,113.2,0.008,0.0163613801339341,0.390970847688366,0.119936538476437,0.507466666666667
31-03-2024,0.1,1.2,111.3,0.008,0.0163499874808784,0.36292234791162,0.0663556838074062,0.5064
01-04-2024,0.1,1.3,102,0.008,0.0163556873205046,0.377138888805756,0.0663528374006915,0.506933333333333
02-04-2024,1.4,2.7,98.9,0.112,0.230086547318922,0.546763487080457,0.173221117319713,0.5144
03-04-2024,4.35,7.05,103,0.348,0.72523290433473,0.922600635154666,0.527659725826826,0.5376
04-04-2024,0.8,7.85,99.35,0.064,0.133714619787993,0.979064246011356,0.479473762061361,0.541866666666667
05-04-2024,74.75,82.35,173.85,5.98,14.5346484261749,3.01948433252426,7.38418152298144,0.9392
06-04-2024,54,136.35,220,4.32,11.1124789129699,3.51871055628075,12.8735636695724,1.2272
07-04-2024,0.2,136.55,218.4,0.016,0.0411642286918877,3.52007131164498,5.62682157083087,1.22826666666667
08-04-2024,50.6,186.4,249.5,4.048,10.7880430237617,3.79323411078806,5.4646036262268,1.49413333333333
09-04-2024,11.8,198.1,248.65,0.944,2.53278991020466,3.84271280040096,6.71041646698319,1.5
10-04-2024,13.3,211.3,256.65,1.064,2.87495425831468,3.89363574792013,2.75387208425967,1.5
11-04-2024,1.55,212.75,251.45,0.124,0.335299703095639,3.89894241519158,1.65512698070516,1.5
12-04-2024,1.2,212.55,251.6,0.096,0.259560402695979,3.89821366784462,0.347430052895809,1.5
13-04-2024,0.85,209.05,236.1,0.068,0.183524020697368,3.88529314227856,0.271542211696674,1.5
14-04-2024,7.5,215.75,231.45,0.6,1.62487825508168,3.90975239960233,0.954201137889523,1.5
15-04-2024,10.85,151.85,237.7,0.868,2.26040081909053,3.61690745068486,1.9926395370861,1.30986666666667
16-04-2024,6,103.85,243.4,0.48,1.19701954262753,3.25585003625596,1.77871018085903,1.05386666666667
17-04-2024,0,103.65,242.75,0,0,3.25392544305686,0.648509771313764,1.0528
18-04-2024,0,53.05,242.75,0,0,2.55853392639445,0.05,0.782933333333333
19-04-2024,3.9,45.15,244.65,0.312,0.714659950245471,2.39090452399259,0.407329975122736,0.7408
20-04-2024,2.4,34.25,246.75,0.192,0.43000896926512,2.11219649435463,0.622334459755296,0.682666666666667
21-04-2024,21.3,54,268.05,1.704,3.96724070786685,2.57712257613453,2.24862483856598,0.788
22-04-2024,1.55,54.35,269.6,0.124,0.288872624992779,2.58389353541934,2.17805666642981,0.789866666666667
23-04-2024,2.65,56.15,272.25,0.212,0.495417561353437,2.61807543180256,0.442145093173108,0.799466666666667
24-04-2024,7.1,55.75,279.35,0.568,1.32643494963472,2.61057058788475,0.96092625549408,0.797333333333333
25-04-2024,2.45,47.35,281.55,0.196,0.450843447808586,2.44008678276932,0.938639198721654,0.752533333333333
26-04-2024,10.65,52,292.2,0.852,1.97660709571436,2.53762280393051,1.26372527176147,0.777333333333333
27-04-2024,4.25,56.25,296.45,0.34,0.79467350158462,2.61994364827779,1.43564029864949,0.8
28-04-2024,0,56.25,295.7,0,0,2.61994364827779,0.44733675079231,0.8
29-04-2024,0,52.35,295.6,0,0,2.54463653115018,0.05,0.7792
30-04-2024,0,49.95,295.5,0,0,2.49564502512975,0.05,0.7664
